Title,Artist
Not Like Us,Kendrick Lamar
A Bar Song (Tipsy),Shaboozey
meet the grahams,Kendrick Lamar
Where That Came From,Randy Travis
euphoria,Kendrick Lamar
Not Today,BTS
Family Matters,Drake
A Bar Song (Tipsy),Shaboozey
Lose Control,Teddy Swims
Beautiful Things,Benson Boone
Too Sweet,Hozier
G.R.I.T.S,Jimmie Allen
Million Dollar Baby,Tommy Richman
Miles on It,Marshmello & Kane Brown
Hollywood Nights,Black Oxygen
Fortnight (feat. Post Malone),Taylor Swift
Espresso,Sabrina Carpenter
Like That,"Future, Metro Boomin & Kendrick Lamar"
Illusion,Dua Lipa
Training Season,Dua Lipa
Lobby,SMITH
Wondering Why,The Red Clay Strays
Push Ups,Drake
Live Like You Were Dying,Tim McGraw
GO HOME W U,Keith Urban & Lainey Wilson
Lil Boo Thang,Paul Russell
Save Me (with Lainey Wilson),Jelly Roll
The Door,Teddy Swims
Unwritten,Natasha Bedingfield
Where the Wild Things Are,Luke Combs
Halfway To Hell,Jelly Roll
I Can Do It With a Broken Heart,Taylor Swift
Austin,Dasha
i like the way you kiss me,Artemas
White Horse,Chris Stapleton
The Sound of Silence (CYRIL Remix),Disturbed
Need a Favor,Jelly Roll
Kendrick Lamar 6:16 In LA Drake Diss,Gloc23
Cowgirls (feat. ERNEST),Morgan Wallen
TEXAS HOLD 'EM,Beyoncé
Wildflowers and Wild Horses (Single Version),Lainey Wilson
Save Me,Jelly Roll
Last Night,Morgan Wallen
Fast Car,Luke Combs
Houdini,Dua Lipa
Closer,August Moon
"Forever and Ever, Amen",Randy Travis
Lovin On Me,Jack Harlow
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Austin,Dasha
A Country Boy Can Survive,"Hank Williams, Jr."
Beautiful Things,Benson Boone
Dirt Cheap,Cody Johnson
Stick Season,Noah Kahan
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
Cruel Summer,Taylor Swift
Flowers,Miley Cyrus
GOOD DAY,Forrest Frank
Wondering Why (Live AF Version),The Red Clay Strays & Western AF
TRUCK BED,HARDY
Selling (feat. OJ Da Juiceman),Sukihana
we can't be friends (wait for your love),Ariana Grande
Bulletproof,Nate Smith
Slow It Down,Benson Boone
Pirates & Parrots (feat. Mac McAnally),Zac Brown Band
Wine Into Whiskey,Tucker Wetmore
Light On,Maggie Rogers
II MOST WANTED,Beyoncé & Miley Cyrus
You Make Everything Beautiful,for KING & COUNTRY & Rebecca St. James
Happy For You,Dua Lipa
Tennessee Whiskey,Chris Stapleton
Thinkin’ Bout Me,Morgan Wallen
Goodness of God (Live),CeCe Winans
Belong Together,Mark Ambor
Hard to Love,Lee Brice
Something in the Orange (Z&E's Version),Zach Bryan
Made For Me,Muni Long
Cab In A Solo,Scotty McCreery
Down Bad,Taylor Swift
Who’s Afraid of Little Old Me?,Taylor Swift
Legendary,Bon Jovi
The Chicken In Black,Johnny Cash
Spirit In the Sky,Norman Greenbaum
Saturn,SZA
Gonna Find Out,Kate Hudson
Powerful Women,Pitbull & Dolly Parton
Home,Good Neighbours
Unstoppable,Sia
I Was Made for Lovin' You,Kiss
End of Beginning,Djo
Wranglers,Miranda Lambert
Set My Heart On Fire (I'm Alive x And The Beat Goes On),"Majestic, The Jammin Kid & Céline Dion"
Broadway Girls (feat. Morgan Wallen),Lil Durk
Million Dollar Baby (Vhs),Tommy Richman
Spin You Around (1/24),Morgan Wallen
Hammer to the Heart,Teddy Swims
Dance The Night,Dua Lipa
A Symptom Of Being Human,Shinedown
Let Your Boys Be Country,Jason Aldean
"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish
